Feature,Coefficient
Intercept,-2.5296399925861017
HP,0.02134277941220241
AC,-0.04675980500411007
Fortitude,0.23007777299884516
Reflex,0.021850391385685532
Will,0.3492933230317202
Perception,-0.18967405536807877
HP^2,3.592965275587504e-05
HP AC,1.2232644485743684e-05
HP Fortitude,-0.0001423634519739311
HP Reflex,-0.0009109897466206879
HP Will,0.00011864199396064712
HP Perception,-0.00039801132490290187
AC^2,0.003688663962402083
AC Fortitude,-0.00302706947206616
AC Reflex,0.004588667621673034
AC Will,-0.019469761962116087
AC Perception,0.021797037273360978
Fortitude^2,0.005268890822222557
Fortitude Reflex,-0.005746222718298672
Fortitude Will,-0.006617457748577327
Fortitude Perception,-0.00017015091082092605
Reflex^2,0.0046091740065196275
Reflex Will,0.010663971957079573
Reflex Perception,-0.009588127513461324
Will^2,0.011142454658619393
Will Perception,-0.009349946469191517
Perception^2,0.00016986651435764983
